pair,total_ibd_mb,sample_a,sample_b
"('NA19352_NA19352', 'NA19374_NA19374')",67.45062499999999,NA19352_NA19352,NA19374_NA19374
"('NA19376_NA19376', 'NA19430_NA19430')",67.418972,NA19376_NA19376,NA19430_NA19430
"('NA19352_NA19352', 'NA19373_NA19373')",66.772734,NA19352_NA19352,NA19373_NA19373
"('NA19384_NA19384', 'NA19448_NA19448')",66.397595,NA19384_NA19384,NA19448_NA19448
"('NA19312_NA19312', 'NA19355_NA19355')",66.371798,NA19312_NA19312,NA19355_NA19355
"('NA19448_NA19448', 'NA19452_NA19452')",66.192818,NA19448_NA19448,NA19452_NA19452
"('NA19377_NA19377', 'NA19446_NA19446')",65.882755,NA19377_NA19377,NA19446_NA19446
"('NA19390_NA19390', 'NA19468_NA19468')",65.864869,NA19390_NA19390,NA19468_NA19468
"('NA19319_NA19319', 'NA19440_NA19440')",65.673467,NA19319_NA19319,NA19440_NA19440
"('NA19381_NA19381', 'NA19469_NA19469')",65.518078,NA19381_NA19381,NA19469_NA19469
"('NA19319_NA19319', 'NA19394_NA19394')",65.286352,NA19319_NA19319,NA19394_NA19394
"('NA19311_NA19311', 'NA19379_NA19379')",65.169435,NA19311_NA19311,NA19379_NA19379
"('NA19390_NA19390', 'NA19446_NA19446')",64.802442,NA19390_NA19390,NA19446_NA19446
"('NA19321_NA19321', 'NA19470_NA19470')",64.317267,NA19321_NA19321,NA19470_NA19470
"('NA19044_NA19044', 'NA19467_NA19467')",64.271754,NA19044_NA19044,NA19467_NA19467
"('NA19374_NA19374', 'NA19390_NA19390')",63.195859000000006,NA19374_NA19374,NA19390_NA19390
"('NA19317_NA19317', 'NA19379_NA19379')",62.948523,NA19317_NA19317,NA19379_NA19379
"('NA19317_NA19317', 'NA19440_NA19440')",62.789654,NA19317_NA19317,NA19440_NA19440
"('NA19308_NA19308', 'NA19466_NA19466')",62.445862999999996,NA19308_NA19308,NA19466_NA19466
"('NA19455_NA19455', 'NA19461_NA19461')",61.971468,NA19455_NA19455,NA19461_NA19461
"('NA19328_NA19328', 'NA19466_NA19466')",61.9121,NA19328_NA19328,NA19466_NA19466
"('NA19434_NA19434', 'NA19455_NA19455')",61.559921,NA19434_NA19434,NA19455_NA19455
"('NA19360_NA19360', 'NA19381_NA19381')",61.479591,NA19360_NA19360,NA19381_NA19381
"('NA19321_NA19321', 'NA19403_NA19403')",61.370381,NA19321_NA19321,NA19403_NA19403
"('NA19346_NA19346', 'NA19452_NA19452')",61.257199,NA19346_NA19346,NA19452_NA19452
"('NA19328_NA19328', 'NA19404_NA19404')",61.247476,NA19328_NA19328,NA19404_NA19404
"('NA19346_NA19346', 'NA19372_NA19372')",60.746103999999995,NA19346_NA19346,NA19372_NA19372
"('NA19312_NA19312', 'NA19338_NA19338')",60.531172999999995,NA19312_NA19312,NA19338_NA19338
"('NA19373_NA19373', 'NA19439_NA19439')",60.515438,NA19373_NA19373,NA19439_NA19439
"('NA19315_NA19315', 'NA19451_NA19451')",60.301126000000004,NA19315_NA19315,NA19451_NA19451
"('NA19308_NA19308', 'NA19375_NA19375')",60.200896,NA19308_NA19308,NA19375_NA19375
"('NA19328_NA19328', 'NA19436_NA19436')",59.962868,NA19328_NA19328,NA19436_NA19436
"('NA19359_NA19359', 'NA19438_NA19438')",59.929837,NA19359_NA19359,NA19438_NA19438
"('NA19428_NA19428', 'NA19451_NA19451')",59.798401,NA19428_NA19428,NA19451_NA19451
