pair,total_ibd_mb,sample_a,sample_b,pi_hat
"('NA19307_NA19307', 'NA19444_NA19444')",117.68555599999999,NA19307_NA19307,NA19444_NA19444,0.03677673625
"('NA19448_NA19448', 'NA19451_NA19451')",116.116723,NA19448_NA19448,NA19451_NA19451,0.0362864759375
"('NA19307_NA19307', 'NA19360_NA19360')",113.718763,NA19307_NA19307,NA19360_NA19360,0.0355371134375
"('NA19398_NA19398', 'NA19449_NA19449')",112.85247600000001,NA19398_NA19398,NA19449_NA19449,0.035266398750000004
"('NA19384_NA19384', 'NA19467_NA19467')",111.128255,NA19384_NA19384,NA19467_NA19467,0.034727579687499996
"('NA19316_NA19316', 'NA19434_NA19434')",105.638037,NA19316_NA19316,NA19434_NA19434,0.0330118865625
"('NA19316_NA19316', 'NA19355_NA19355')",102.12759299999999,NA19316_NA19316,NA19355_NA19355,0.031914872812499995
"('NA19316_NA19316', 'NA19444_NA19444')",100.800292,NA19316_NA19316,NA19444_NA19444,0.03150009125
"('NA19355_NA19355', 'NA19398_NA19398')",100.323904,NA19355_NA19355,NA19398_NA19398,0.03135122
"('NA19461_NA19461', 'NA19467_NA19467')",96.48384300000001,NA19461_NA19461,NA19467_NA19467,0.0301512009375
"('NA19046_NA19046', 'NA19350_NA19350')",95.66460599999999,NA19046_NA19046,NA19350_NA19350,0.029895189375
"('NA19332_NA19332', 'NA19360_NA19360')",95.45027400000001,NA19332_NA19332,NA19360_NA19360,0.029828210625000004
"('NA19334_NA19334', 'NA19360_NA19360')",94.731186,NA19334_NA19334,NA19360_NA19360,0.029603495624999997
"('NA19312_NA19312', 'NA19393_NA19393')",92.925263,NA19312_NA19312,NA19393_NA19393,0.0290391446875
"('NA19038_NA19038', 'NA19429_NA19429')",92.84830500000001,NA19038_NA19038,NA19429_NA19429,0.029015095312500003
"('NA19316_NA19316', 'NA19360_NA19360')",90.72794200000001,NA19316_NA19316,NA19360_NA19360,0.028352481875000005
"('NA19316_NA19316', 'NA19461_NA19461')",88.090896,NA19316_NA19316,NA19461_NA19461,0.027528405
"('NA19312_NA19312', 'NA19360_NA19360')",87.551011,NA19312_NA19312,NA19360_NA19360,0.0273596909375
"('NA19308_NA19308', 'NA19350_NA19350')",87.271907,NA19308_NA19308,NA19350_NA19350,0.0272724709375
"('NA19393_NA19393', 'NA19397_NA19397')",86.38730699999999,NA19393_NA19393,NA19397_NA19397,0.026996033437499997
"('NA19338_NA19338', 'NA19444_NA19444')",82.776913,NA19338_NA19338,NA19444_NA19444,0.0258677853125
"('NA19312_NA19312', 'NA19473_NA19473')",81.375688,NA19312_NA19312,NA19473_NA19473,0.0254299025
"('NA19393_NA19393', 'NA19396_NA19396')",79.968321,NA19393_NA19393,NA19396_NA19396,0.0249901003125
"('NA19390_NA19390', 'NA19440_NA19440')",79.307288,NA19390_NA19390,NA19440_NA19440,0.0247835275
"('NA19308_NA19308', 'NA19397_NA19397')",79.068678,NA19308_NA19308,NA19397_NA19397,0.024708961875
"('NA19449_NA19449', 'NA19462_NA19462')",78.185494,NA19449_NA19449,NA19462_NA19462,0.024432966875000003
"('NA19428_NA19428', 'NA19471_NA19471')",77.430954,NA19428_NA19428,NA19471_NA19471,0.024197173125
"('NA19318_NA19318', 'NA19331_NA19331')",77.284641,NA19318_NA19318,NA19331_NA19331,0.0241514503125
"('NA19318_NA19318', 'NA19467_NA19467')",77.206007,NA19318_NA19318,NA19467_NA19467,0.0241268771875
"('NA19398_NA19398', 'NA19443_NA19443')",77.184765,NA19398_NA19398,NA19443_NA19443,0.0241202390625
"('NA19035_NA19035', 'NA19467_NA19467')",77.146212,NA19035_NA19035,NA19467_NA19467,0.02410819125
"('NA19428_NA19428', 'NA19456_NA19456')",77.136237,NA19428_NA19428,NA19456_NA19456,0.0241050740625
"('NA19338_NA19338', 'NA19434_NA19434')",76.936132,NA19338_NA19338,NA19434_NA19434,0.02404254125
"('NA19310_NA19310', 'NA19428_NA19428')",76.866871,NA19310_NA19310,NA19428_NA19428,0.0240208971875
"('NA19318_NA19318', 'NA19334_NA19334')",76.850694,NA19318_NA19318,NA19334_NA19334,0.024015841875000003
"('NA19311_NA19311', 'NA19472_NA19472')",76.209645,NA19311_NA19311,NA19472_NA19472,0.023815514062499998
"('NA19035_NA19035', 'NA19321_NA19321')",75.939067,NA19035_NA19035,NA19321_NA19321,0.023730958437499998
"('NA19307_NA19307', 'NA19393_NA19393')",74.611598,NA19307_NA19307,NA19393_NA19393,0.023316124375
"('NA19324_NA19324', 'NA19431_NA19431')",73.906811,NA19324_NA19324,NA19431_NA19431,0.023095878437500002
"('NA19046_NA19046', 'NA19384_NA19384')",73.534549,NA19046_NA19046,NA19384_NA19384,0.022979546562499998
"('NA19455_NA19455', 'NA19474_NA19474')",72.98884199999999,NA19455_NA19455,NA19474_NA19474,0.022809013124999996
"('NA19375_NA19375', 'NA19384_NA19384')",72.959823,NA19375_NA19375,NA19384_NA19384,0.0227999446875
"('NA19384_NA19384', 'NA19430_NA19430')",72.67871699999999,NA19384_NA19384,NA19430_NA19430,0.022712099062499998
"('NA19461_NA19461', 'NA19472_NA19472')",70.973714,NA19461_NA19461,NA19472_NA19472,0.022179285625
"('NA19382_NA19382', 'NA19449_NA19449')",70.526109,NA19382_NA19382,NA19449_NA19449,0.0220394090625
"('NA19451_NA19451', 'NA19461_NA19461')",70.316708,NA19451_NA19451,NA19461_NA19461,0.02197397125
"('NA19312_NA19312', 'NA19319_NA19319')",70.18868,NA19312_NA19312,NA19319_NA19319,0.0219339625
"('NA19359_NA19359', 'NA19439_NA19439')",69.95353,NA19359_NA19359,NA19439_NA19439,0.021860478125
"('NA19308_NA19308', 'NA19404_NA19404')",69.88776299999999,NA19308_NA19308,NA19404_NA19404,0.021839925937499997
"('NA19347_NA19347', 'NA19428_NA19428')",69.842704,NA19347_NA19347,NA19428_NA19428,0.021825845
"('NA19431_NA19431', 'NA19468_NA19468')",69.788492,NA19431_NA19431,NA19468_NA19468,0.02180890375
"('NA19383_NA19383', 'NA19394_NA19394')",69.68634,NA19383_NA19383,NA19394_NA19394,0.02177698125
"('NA19318_NA19318', 'NA19384_NA19384')",69.576227,NA19318_NA19318,NA19384_NA19384,0.0217425709375
"('NA19462_NA19462', 'NA19466_NA19466')",69.276606,NA19462_NA19462,NA19466_NA19466,0.021648939375
"('NA19452_NA19452', 'NA19461_NA19461')",68.592011,NA19452_NA19452,NA19461_NA19461,0.0214350034375
"('NA19308_NA19308', 'NA19396_NA19396')",68.296393,NA19308_NA19308,NA19396_NA19396,0.0213426228125
"('NA19449_NA19449', 'NA19467_NA19467')",68.076059,NA19449_NA19449,NA19467_NA19467,0.0212737684375
"('NA19347_NA19347', 'NA19445_NA19445')",67.557217,NA19347_NA19347,NA19445_NA19445,0.021111630312499997
"('NA19352_NA19352', 'NA19374_NA19374')",67.45062499999999,NA19352_NA19352,NA19374_NA19374,0.021078320312499996
"('NA19376_NA19376', 'NA19430_NA19430')",67.418972,NA19376_NA19376,NA19430_NA19430,0.02106842875
"('NA19352_NA19352', 'NA19373_NA19373')",66.772734,NA19352_NA19352,NA19373_NA19373,0.020866479375
"('NA19384_NA19384', 'NA19448_NA19448')",66.397595,NA19384_NA19384,NA19448_NA19448,0.0207492484375
"('NA19312_NA19312', 'NA19355_NA19355')",66.371798,NA19312_NA19312,NA19355_NA19355,0.020741186874999998
"('NA19448_NA19448', 'NA19452_NA19452')",66.192818,NA19448_NA19448,NA19452_NA19452,0.020685255625
