sample_a,sample_b,total_ibd_mb,pi_hat
NA19044_NA19044,NA19384_NA19384,48.267112999999995,0.015083472812499998
NA19372_NA19372,NA19452_NA19452,48.264458999999995,0.015082643437499998
NA19308_NA19308,NA19474_NA19474,48.229547,0.015071733437499998
NA19437_NA19437,NA19461_NA19461,48.134594,0.015042060624999999
NA19347_NA19347,NA19451_NA19451,48.119799,0.0150374371875
NA19381_NA19381,NA19404_NA19404,48.082265,0.0150257078125
NA19044_NA19044,NA19351_NA19351,48.016088,0.0150050275
NA19035_NA19035,NA19359_NA19359,47.963701,0.014988656562500001
NA19315_NA19315,NA19453_NA19453,47.702535999999995,0.014907042499999999
NA19307_NA19307,NA19470_NA19470,47.57658300000001,0.014867682187500002
NA19331_NA19331,NA19398_NA19398,47.479124999999996,0.014837226562499998
NA19385_NA19385,NA19428_NA19428,47.392021,0.0148100065625
NA19319_NA19319,NA19359_NA19359,47.377769,0.014805552812500001
NA19317_NA19317,NA19467_NA19467,47.36226,0.01480070625
NA19382_NA19382,NA19443_NA19443,47.322344,0.0147882325
NA19446_NA19446,NA19466_NA19466,47.184309,0.014745096562499999
NA19391_NA19391,NA19463_NA19463,47.157891,0.0147368409375
NA19360_NA19360,NA19436_NA19436,47.104144,0.014720045
NA19401_NA19401,NA19453_NA19453,47.075192,0.0147109975
NA19384_NA19384,NA19395_NA19395,47.054235,0.0147044484375
NA19390_NA19390,NA19463_NA19463,47.041911,0.0147005971875
NA19437_NA19437,NA19444_NA19444,46.821236999999996,0.0146316365625
NA19332_NA19332,NA19431_NA19431,46.787675,0.0146211484375
NA19360_NA19360,NA19466_NA19466,46.783245,0.0146197640625
NA19390_NA19390,NA19436_NA19436,46.605463,0.0145642071875
NA19451_NA19451,NA19453_NA19453,46.579607,0.0145561271875
NA19312_NA19312,NA19437_NA19437,46.532154000000006,0.014541298125000001
NA19452_NA19452,NA19466_NA19466,46.519951999999996,0.014537485
NA19328_NA19328,NA19451_NA19451,46.473899,0.0145230934375
NA19391_NA19391,NA19473_NA19473,46.442358,0.014513236875
NA19041_NA19041,NA19438_NA19438,46.346441,0.0144832628125
NA19038_NA19038,NA19360_NA19360,46.326456,0.0144770175
NA19331_NA19331,NA19439_NA19439,46.285814,0.014464316875000001
NA19350_NA19350,NA19391_NA19391,46.272233,0.0144600728125
NA19404_NA19404,NA19434_NA19434,46.235889,0.0144487153125
NA19028_NA19028,NA19456_NA19456,46.184732999999994,0.014432729062499998
NA19377_NA19377,NA19396_NA19396,46.119541999999996,0.014412356874999999
NA19317_NA19317,NA19396_NA19396,46.075399000000004,0.014398562187500002
NA19041_NA19041,NA19472_NA19472,46.072255,0.0143975796875
NA19317_NA19317,NA19401_NA19401,46.009241,0.0143778878125
NA19334_NA19334,NA19379_NA19379,45.88689,0.014339653125
NA19350_NA19350,NA19385_NA19385,45.854428999999996,0.014329509062499999
NA19028_NA19028,NA19472_NA19472,45.793876,0.01431058625
NA19338_NA19338,NA19347_NA19347,45.753752999999996,0.014298047812499999
NA19316_NA19316,NA19451_NA19451,45.719659,0.0142873934375
NA19331_NA19331,NA19471_NA19471,45.557088,0.01423659
NA19041_NA19041,NA19359_NA19359,45.554901,0.014235906562500001
NA19401_NA19401,NA19446_NA19446,45.529114,0.014227848125
NA19351_NA19351,NA19437_NA19437,45.516645,0.014223951562499998
NA19044_NA19044,NA19318_NA19318,45.483244,0.01421351375
NA19355_NA19355,NA19384_NA19384,45.478705999999995,0.014212095624999999
NA19398_NA19398,NA19470_NA19470,45.46332099999999,0.014207287812499999
NA19307_NA19307,NA19428_NA19428,45.459497999999996,0.014206093125
NA19383_NA19383,NA19393_NA19393,45.448583,0.0142026821875
NA19393_NA19393,NA19404_NA19404,45.353422,0.014172944375000001
NA19391_NA19391,NA19466_NA19466,45.305519000000004,0.014157974687500002
NA19307_NA19307,NA19309_NA19309,45.263779,0.0141449309375
NA19315_NA19315,NA19470_NA19470,45.251659,0.014141143437499998
NA19044_NA19044,NA19394_NA19394,45.157973,0.014111866562499999
NA19394_NA19394,NA19445_NA19445,45.155981,0.014111244062499998
NA19395_NA19395,NA19466_NA19466,45.137321,0.0141054128125
NA19317_NA19317,NA19380_NA19380,45.024983,0.014070307187499999
NA19397_NA19397,NA19437_NA19437,44.66425,0.013957578125000002
NA19352_NA19352,NA19430_NA19430,44.635042,0.013948450624999999
NA19350_NA19350,NA19457_NA19457,44.576712,0.0139302225
NA19046_NA19046,NA19317_NA19317,44.535787,0.0139174334375
