pair,total_ibd_mb,sample_a,sample_b,pi_hat
"('NA19435', 'NA19474')",186.101074,NA19435,NA19474,0.05815658562500001
"('NA19430', 'NA19451')",186.08044,NA19430,NA19451,0.058150137500000004
"('NA19448', 'NA19453')",186.052814,NA19448,NA19453,0.05814150437500001
"('NA19028', 'NA19351')",186.04850199999998,NA19028,NA19351,0.058140156874999994
"('NA19384', 'NA19446')",185.980127,NA19384,NA19446,0.058118789687500005
"('NA19334', 'NA19453')",185.940674,NA19334,NA19453,0.058106460625
"('NA19308', 'NA19398')",185.873004,NA19308,NA19398,0.058085313750000006
"('NA19375', 'NA19449')",185.85948100000002,NA19375,NA19449,0.05808108781250001
"('NA19312', 'NA19360')",185.789798,NA19312,NA19360,0.058059311875
"('NA19429', 'NA19455')",185.76962,NA19429,NA19455,0.058053006250000004
"('NA19328', 'NA19382')",185.532141,NA19328,NA19382,0.0579787940625
"('NA19308', 'NA19456')",185.516863,NA19308,NA19456,0.0579740196875
"('NA19466', 'NA19472')",185.474353,NA19466,NA19472,0.057960735312500004
"('NA19380', 'NA19384')",185.435752,NA19380,NA19384,0.0579486725
"('NA19317', 'NA19381')",185.363903,NA19317,NA19381,0.057926219687499995
"('NA19359', 'NA19382')",185.357652,NA19359,NA19382,0.05792426625
"('NA19319', 'NA19350')",185.333503,NA19319,NA19350,0.0579167196875
"('NA19374', 'NA19391')",185.084409,NA19374,NA19391,0.057838877812499995
"('NA19395', 'NA19446')",184.960528,NA19395,NA19446,0.057800165
"('NA19028', 'NA19429')",184.946273,NA19028,NA19429,0.0577957103125
"('NA19430', 'NA19456')",184.91936800000002,NA19430,NA19456,0.057787302500000005
"('NA19455', 'NA19462')",184.908635,NA19455,NA19462,0.0577839484375
"('NA19331', 'NA19471')",184.88332,NA19331,NA19471,0.0577760375
"('NA19041', 'NA19472')",184.794672,NA19041,NA19472,0.057748335
"('NA19317', 'NA19352')",184.771494,NA19317,NA19352,0.057741091875
"('NA19382', 'NA19391')",184.744065,NA19382,NA19391,0.0577325203125
"('NA19381', 'NA19403')",184.718123,NA19381,NA19403,0.0577244134375
"('NA19373', 'NA19446')",184.696435,NA19373,NA19446,0.057717635937500004
"('NA19382', 'NA19403')",184.678322,NA19382,NA19403,0.057711975625
"('NA19375', 'NA19456')",184.606617,NA19375,NA19456,0.0576895678125
"('NA19431', 'NA19468')",184.574814,NA19431,NA19468,0.057679629375
"('NA19404', 'NA19437')",184.556463,NA19404,NA19437,0.057673894687500005
