IID1	IID2	PI_HAT	relationship
NA19038	NA19319	0.0479	unrelated
NA19038	NA19321	0.0428	unrelated
NA19038	NA19324	0.0443	unrelated
NA19038	NA19327	0.0359	unrelated
NA19038	NA19328	0.05	unrelated
NA19038	NA19331	0.0454	unrelated
NA19038	NA19332	0.0387	unrelated
NA19038	NA19334	0.04	unrelated
NA19038	NA19338	0.0436	unrelated
NA19038	NA19346	0.042	unrelated
NA19038	NA19347	0.0466	unrelated
NA19038	NA19350	0.0438	unrelated
NA19038	NA19351	0.0495	unrelated
NA19038	NA19352	0.0465	unrelated
NA19038	NA19355	0.0464	unrelated
NA19038	NA19359	0.0461	unrelated
NA19038	NA19360	0.0506	unrelated
NA19038	NA19371	0.0527	unrelated
NA19038	NA19372	0.0458	unrelated
NA19038	NA19373	0.0425	unrelated
NA19038	NA19374	0.0402	unrelated
NA19038	NA19375	0.0431	unrelated
NA19038	NA19376	0.0501	unrelated
NA19038	NA19377	0.0425	unrelated
NA19038	NA19379	0.0393	unrelated
NA19038	NA19380	0.0454	unrelated
NA19038	NA19381	0.0497	unrelated
NA19038	NA19382	0.0461	unrelated
NA19038	NA19383	0.0475	unrelated
NA19038	NA19384	0.0473	unrelated
NA19038	NA19385	0.0388	unrelated
NA19038	NA19390	0.04	unrelated
NA19038	NA19391	0.0457	unrelated
NA19038	NA19393	0.0431	unrelated
NA19038	NA19394	0.0493	unrelated
NA19038	NA19395	0.0415	unrelated
NA19038	NA19396	0.0506	unrelated
NA19038	NA19397	0.0489	unrelated
NA19038	NA19398	0.0456	unrelated
NA19038	NA19399	0.0554	unrelated
NA19038	NA19401	0.0427	unrelated
NA19038	NA19403	0.0367	unrelated
NA19038	NA19404	0.0455	unrelated
NA19038	NA19428	0.0493	unrelated
NA19038	NA19429	0.0556	unrelated
NA19038	NA19430	0.0449	unrelated
NA19038	NA19431	0.0456	unrelated
NA19038	NA19434	0.0443	unrelated
NA19038	NA19435	0.0403	unrelated
NA19038	NA19436	0.0494	unrelated
NA19038	NA19437	0.0404	unrelated
NA19038	NA19438	0.0413	unrelated
NA19038	NA19439	0.0413	unrelated
NA19038	NA19440	0.0428	unrelated
NA19038	NA19443	0.041	unrelated
NA19038	NA19444	0.0414	unrelated
NA19038	NA19445	0.0464	unrelated
NA19038	NA19446	0.0469	unrelated
NA19038	NA19448	0.0419	unrelated
NA19038	NA19449	0.0398	unrelated
NA19038	NA19451	0.048	unrelated
NA19038	NA19452	0.0364	unrelated
NA19038	NA19453	0.0467	unrelated
NA19038	NA19455	0.0453	unrelated
NA19038	NA19456	0.0486	unrelated
NA19038	NA19457	0.0466	unrelated
NA19038	NA19461	0.0458	unrelated
NA19038	NA19462	0.0417	unrelated
NA19038	NA19463	0.0421	unrelated
NA19038	NA19466	0.0441	unrelated
NA19038	NA19467	0.0432	unrelated
NA19038	NA19468	0.0425	unrelated
NA19038	NA19469	0.0429	unrelated
NA19038	NA19470	0.0408	unrelated
NA19038	NA19471	0.044	unrelated
NA19038	NA19472	0.0394	unrelated
NA19038	NA19473	0.0414	unrelated
NA19038	NA19474	0.0406	unrelated
NA19041	NA19044	0.0407	unrelated
NA19041	NA19046	0.0443	unrelated
NA19041	NA19307	0.0449	unrelated
NA19041	NA19308	0.0447	unrelated
NA19041	NA19309	0.0432	unrelated
NA19041	NA19310	0.0453	unrelated
NA19041	NA19311	0.0406	unrelated
NA19041	NA19312	0.0441	unrelated
NA19041	NA19313	0.0475	unrelated
NA19041	NA19315	0.0359	unrelated
NA19041	NA19316	0.046	unrelated
NA19041	NA19317	0.0415	unrelated
NA19041	NA19318	0.0383	unrelated
NA19041	NA19319	0.0433	unrelated
NA19041	NA19321	0.0428	unrelated
NA19041	NA19324	0.0425	unrelated
NA19041	NA19327	0.0415	unrelated
NA19041	NA19328	0.0502	unrelated
NA19041	NA19331	0.0479	unrelated
NA19041	NA19332	0.0394	unrelated
NA19041	NA19334	0.0425	unrelated
NA19041	NA19338	0.0449	unrelated
NA19041	NA19346	0.0423	unrelated
NA19041	NA19347	0.045	unrelated
NA19041	NA19350	0.0414	unrelated
NA19041	NA19351	0.0492	unrelated
NA19041	NA19352	0.0431	unrelated
NA19041	NA19355	0.0495	unrelated
NA19041	NA19359	0.0512	unrelated
NA19041	NA19360	0.0479	unrelated
NA19041	NA19371	0.0421	unrelated
NA19041	NA19372	0.0443	unrelated
NA19041	NA19373	0.0462	unrelated
NA19041	NA19374	0.0432	unrelated
NA19041	NA19375	0.0402	unrelated
NA19041	NA19376	0.0515	unrelated
NA19041	NA19377	0.0417	unrelated
NA19041	NA19379	0.0451	unrelated
NA19041	NA19380	0.0446	unrelated
NA19041	NA19381	0.0401	unrelated
NA19041	NA19382	0.0431	unrelated
NA19041	NA19383	0.0472	unrelated
NA19041	NA19384	0.0452	unrelated
NA19041	NA19385	0.039	unrelated
NA19041	NA19390	0.0409	unrelated
NA19041	NA19391	0.0467	unrelated
NA19041	NA19393	0.0488	unrelated
NA19041	NA19394	0.0458	unrelated
NA19041	NA19395	0.0479	unrelated
NA19041	NA19396	0.0431	unrelated
NA19041	NA19397	0.0421	unrelated
NA19041	NA19398	0.0427	unrelated
NA19041	NA19399	0.0433	unrelated
NA19041	NA19401	0.0392	unrelated
NA19041	NA19403	0.0376	unrelated
NA19041	NA19404	0.0406	unrelated
NA19041	NA19428	0.0417	unrelated
NA19041	NA19429	0.039	unrelated
NA19041	NA19430	0.045	unrelated
NA19041	NA19431	0.0426	unrelated
NA19041	NA19434	0.0414	unrelated
NA19041	NA19435	0.0425	unrelated
NA19041	NA19436	0.047	unrelated
NA19041	NA19437	0.0371	unrelated
NA19041	NA19438	0.0437	unrelated
NA19041	NA19439	0.0441	unrelated
NA19041	NA19440	0.0421	unrelated
NA19041	NA19443	0.0424	unrelated
NA19041	NA19444	0.0472	unrelated
NA19041	NA19445	0.0437	unrelated
NA19041	NA19446	0.045	unrelated
NA19041	NA19448	0.0402	unrelated
NA19041	NA19449	0.0421	unrelated
NA19041	NA19451	0.0416	unrelated
NA19041	NA19452	0.0344	unrelated
NA19041	NA19453	0.0415	unrelated
NA19041	NA19455	0.0447	unrelated
NA19041	NA19456	0.0436	unrelated
NA19041	NA19457	0.0381	unrelated
NA19041	NA19461	0.0443	unrelated
NA19041	NA19462	0.0528	unrelated
NA19041	NA19463	0.0381	unrelated
NA19041	NA19466	0.0425	unrelated
NA19041	NA19467	0.0413	unrelated
NA19041	NA19468	0.0394	unrelated
NA19041	NA19469	0.0449	unrelated
NA19041	NA19470	0.0428	unrelated
NA19041	NA19471	0.0423	unrelated
NA19041	NA19472	0.049	unrelated
NA19041	NA19473	0.0491	unrelated
NA19041	NA19474	0.0389	unrelated
NA19044	NA19046	0.0482	unrelated
NA19044	NA19307	0.0379	unrelated
NA19044	NA19308	0.0405	unrelated
NA19044	NA19309	0.0466	unrelated
NA19044	NA19310	0.0465	unrelated
NA19044	NA19311	0.0427	unrelated
NA19044	NA19312	0.0448	unrelated
NA19044	NA19313	0.0399	unrelated
NA19044	NA19315	0.0397	unrelated
NA19044	NA19316	0.0429	unrelated
NA19044	NA19317	0.0479	unrelated
NA19044	NA19318	0.0441	unrelated
