ID1,ID2,PLINK_PIHAT,GERMLINE_IBD,BEAGLE_PIHAT
NA19028,NA19372,0.0438,0.008996583529411765,0.0079417196875
NA19028,NA19373,0.0429,0.0009092835294117647,0.0127945559375
NA19028,NA19374,0.0383,0.008832660588235295,0.009216073125
NA19028,NA19375,0.0406,0.008966384411764705,0.0077344003125000005
NA19028,NA19376,0.0488,0.0012731970588235294,0.009126489375
NA19028,NA19377,0.0437,0.009165416764705883,0.01022790125
NA19028,NA19379,0.0458,0.008765201764705882,0.007599764375
NA19028,NA19380,0.0382,0.002212985588235294,0.006490773437499999
NA19028,NA19381,0.0447,0.011064847352941175,0.0082312628125
NA19028,NA19382,0.0361,0.011133361176470588,0.006170206562499999
NA19028,NA19383,0.0429,0.010203574411764707,0.00999074375
NA19028,NA19384,0.0423,0.007720530588235294,0.005432992812500001
NA19028,NA19385,0.1069,0.005683891470588236,0.10207234968750001
NA19028,NA19390,0.0382,0.00879162705882353,0.006505269375
NA19028,NA19391,0.0408,0.0076908164705882355,0.005282543125
NA19028,NA19393,0.0448,0.007399397647058824,0.00632660625
NA19028,NA19394,0.0457,0.008458807647058824,0.0092220428125
NA19028,NA19395,0.0404,0.00792337705882353,0.0046228353125
NA19028,NA19396,0.0433,0.010759195588235295,0.0075439709375
NA19028,NA19397,0.0405,0.009996405294117647,0.003692125625
NA19028,NA19398,0.04,0.009189677941176472,0.0029369484374999998
NA19028,NA19399,0.0418,0.00941818294117647,0.0046493321875
NA19028,NA19401,0.0373,0.0,0.005000090312499999
NA19028,NA19403,0.0365,0.0090206,0.0027752943750000004
NA19028,NA19404,0.043,0.00983853794117647,0.0038582537500000003
NA19028,NA19428,0.0405,0.008643030588235295,0.0031276900000000002
NA19028,NA19429,0.05,0.011181800882352941,0.00845152625
NA19028,NA19430,0.0441,0.01068459382352941,0.00736385375
NA19028,NA19431,0.0404,0.008706629411764706,0.0039328178125
NA19028,NA19434,0.0426,0.008929875882352941,0.006751718125
NA19028,NA19435,0.0348,0.008062790588235294,0.004212630625
NA19028,NA19436,0.0412,0.007399397647058824,0.00703216875
NA19028,NA19437,0.0355,0.008821089705882353,0.002719145625
NA19028,NA19438,0.0399,0.008481502647058823,0.00575559875
NA19028,NA19439,0.0415,0.011161624411764706,0.006960509375
NA19028,NA19440,0.0373,0.008975505588235295,0.0045335221875
NA19028,NA19443,0.0376,0.00975513705882353,0.0021269209375
NA19028,NA19444,0.0452,0.009909280294117646,0.0063123575
NA19028,NA19445,0.0407,0.0076908164705882355,0.007487735624999999
NA19028,NA19446,0.0416,0.009180465294117647,0.006183238749999999
NA19028,NA19448,0.0437,0.009039717941176471,0.005048828125
NA19028,NA19449,0.0451,0.008793785294117647,0.0039179940625
NA19028,NA19451,0.0381,0.009032429117647059,0.003447059375
NA19028,NA19452,0.0435,0.008631656764705883,0.00684810625
NA19028,NA19453,0.0418,0.009634042352941179,0.0052543790625
NA19028,NA19455,0.0348,0.007720530588235294,0.0022108721875
NA19028,NA19456,0.0554,0.008935214705882353,0.014432729062499998
NA19028,NA19457,0.0408,0.001187589411764706,0.010878948749999999
NA19028,NA19461,0.0378,0.008862846176470587,0.00458029875
NA19028,NA19462,0.0431,0.009933173823529411,0.0070915478125
NA19028,NA19463,0.0439,0.008954151764705882,0.007681501562500001
NA19028,NA19466,0.0402,0.009640316764705881,0.004329708125000001
NA19028,NA19467,0.0377,0.00909279411764706,0.0049641909375
NA19028,NA19468,0.0401,0.009984500588235294,0.006210005937500001
NA19028,NA19469,0.0415,0.0,0.0051570684375
NA19028,NA19470,0.0404,0.007720530588235294,0.004798170625
NA19028,NA19471,0.0391,0.008598648235294118,0.006349868125
NA19028,NA19472,0.0379,0.00866100794117647,0.01431058625
NA19028,NA19473,0.039,0.009245378823529412,0.0050348156249999994
NA19028,NA19474,0.0424,0.008322432647058824,0.006006224687500001
NA19035,NA19036,0.0423,0.00901469794117647,0.007211428749999999
NA19035,NA19038,0.0441,0.0,0.0078487546875
NA19035,NA19041,0.0406,0.007399397647058824,0.0062103615625
NA19035,NA19044,0.0422,0.0,0.005107508125
NA19035,NA19046,0.0447,0.0,0.008373008125
NA19035,NA19307,0.041,0.0013057138235294118,0.0086865059375
NA19035,NA19308,0.0644,0.007399397647058824,0.0376200125
NA19035,NA19309,0.0498,0.008421865294117648,0.0077524675
NA19035,NA19310,0.0507,0.008490507647058824,0.0075142909375
NA19035,NA19311,0.036,0.007399397647058824,0.004868975625
NA19035,NA19312,0.0403,0.009455658823529412,0.006568598125
NA19035,NA19313,0.0445,0.008396266764705883,0.00738281375
NA19035,NA19315,0.0369,0.0,0.008670559375000001
NA19035,NA19316,0.0406,0.007745462647058823,0.006511485
NA19035,NA19317,0.0429,0.0,0.0052787503125
NA19035,NA19318,0.0448,0.0,0.00900342375
NA19035,NA19319,0.0382,0.0,0.010547758124999999
NA19035,NA19321,0.0547,0.007399397647058824,0.023730958437499998
NA19035,NA19324,0.0418,0.007408033823529412,0.0047339740625
NA19035,NA19327,0.0446,0.008501585588235295,0.0088521265625
NA19035,NA19328,0.0493,0.0010182135294117647,0.00266823625
NA19035,NA19331,0.0457,0.0009652423529411764,0.0057895890625
NA19035,NA19332,0.0407,0.007399397647058824,0.00377513125
NA19035,NA19334,0.0428,0.0,0.0033245643749999997
NA19035,NA19338,0.0423,0.009209090588235293,0.0074467371875
NA19035,NA19346,0.0421,0.0,0.010084413749999998
NA19035,NA19347,0.0409,0.007548294411764705,0.0063840590625
NA19035,NA19350,0.0448,0.008386808823529412,0.0126077771875
NA19035,NA19351,0.0452,0.0,0.0063710371874999994
NA19035,NA19352,0.0421,0.007548294411764705,0.0070029046875
NA19035,NA19355,0.0496,0.008312885588235295,0.009973160000000002
NA19035,NA19359,0.0491,0.007399397647058824,0.014988656562500001
NA19035,NA19360,0.0422,0.0,0.00639384375
NA19035,NA19371,0.0383,0.008336633823529411,0.00340723875
